City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,17.72,99,100,4.28,SH,1703907496
1,mahina,-17.5065,-149.489,29.87,74,40,4.12,PF,1703907497
2,saipan,15.1355,145.701,29.39,70,40,8.75,MP,1703907497
3,lebu,-37.6167,-73.65,12.82,89,2,5.31,CL,1703907497
4,grytviken,-54.2811,-36.5092,-0.54,76,79,3.17,GS,1703907497
5,gadzhiyevo,69.2551,33.3362,-13.98,99,97,1.93,RU,1703907498
6,port elizabeth,-33.918,25.5701,19.62,87,0,7.2,ZA,1703907498
7,port-aux-francais,-49.35,70.2167,4.88,89,83,14.82,TF,1703907498
8,flying fish cove,-10.4217,105.6791,28.82,78,75,6.69,CX,1703907498
9,sitka,57.0531,-135.33,11.94,62,100,8.23,US,1703907316
10,albany,42.6001,-73.9662,5.91,91,100,0.45,US,1703907499
11,ushuaia,-54.8,-68.3,7.81,87,40,1.54,AR,1703907499
12,isafjordur,66.0755,-23.124,-8.82,80,35,1.81,IS,1703907499
13,yazykovo,55.2199,56.1353,-10.02,99,97,1.59,RU,1703907500
14,chibougamau,49.9168,-74.3659,-8.21,93,100,3.6,CA,1703907500
15,puerto natales,-51.7236,-72.4875,13.25,62,75,2.57,CL,1703907500
16,bilibino,68.0546,166.4372,-41.34,98,53,1.26,RU,1703907500
17,jaszkiser,47.45,20.2167,2.0,93,96,3.07,HU,1703907501
18,ancud,-41.8697,-73.8203,10.92,81,0,1.7,CL,1703907501
19,waingapu,-9.6567,120.2641,31.95,60,28,4.28,ID,1703907501
20,oranjemund,-28.55,16.4333,17.37,86,0,1.84,NA,1703907501
21,quelimane,-17.8786,36.8883,23.97,94,75,2.06,MZ,1703907502
22,kununurra,-15.7667,128.7333,38.99,37,72,2.57,AU,1703907259
23,longyearbyen,78.2186,15.6401,-0.09,69,75,8.75,SJ,1703907502
24,conception bay south,47.4999,-52.9981,-0.31,96,100,10.4,CA,1703907362
25,dwarka,22.2394,68.9678,23.56,51,0,2.84,IN,1703907503
26,yellowknife,62.456,-114.3525,-8.71,92,100,3.09,CA,1703907410
27,pavlodar,52.3,76.95,-5.11,74,100,10.0,KZ,1703907503
28,mcalester,34.9334,-95.7697,-0.95,80,0,0.0,US,1703907325
29,wailua homesteads,22.0669,-159.378,25.24,82,33,0.45,US,1703907503
30,west island,-12.1568,96.8225,28.99,74,100,5.14,CC,1703907504
31,hawaiian paradise park,19.5933,-154.9731,21.69,96,100,2.06,US,1703907504
32,ciudad lazaro cardenas,17.9583,-102.2,21.98,79,0,2.06,MX,1703907504
33,kodiak,57.79,-152.4072,-11.27,85,0,3.6,US,1703907505
34,karratha,-20.7377,116.8463,38.81,26,8,4.93,AU,1703907505
35,bandarbeyla,9.4942,50.8122,24.45,75,81,6.19,SO,1703907505
36,invercargill,-46.4,168.35,18.34,62,16,1.79,NZ,1703907505
37,curumani,9.1999,-73.5427,24.28,90,87,0.95,CO,1703907506
38,chernyshevskiy,63.0128,112.4714,-29.78,97,100,1.15,RU,1703907506
39,port alfred,-33.5906,26.891,22.23,83,100,5.11,ZA,1703907506
40,ribeira grande,38.5167,-28.7,16.54,72,40,5.14,PT,1703907506
41,chilliwack,49.1747,-121.9443,13.03,78,100,4.12,CA,1703907507
42,hermanus,-34.4187,19.2345,20.45,87,99,5.06,ZA,1703907507
43,port mathurin,-19.6833,63.4167,27.5,76,63,3.53,MU,1703907508
44,blackmans bay,-43.0167,147.3167,15.29,57,82,2.68,AU,1703907508
45,moro,26.6646,68.0016,18.68,26,51,1.54,PK,1703907508
46,constitucion,-35.3333,-72.4167,13.54,95,34,2.74,CL,1703907508
47,whitehorse,60.7161,-135.0538,-10.57,88,100,1.54,CA,1703907510
48,bethel,41.3712,-73.414,8.34,81,100,3.09,US,1703907510
49,minas de marcona,-15.2119,-75.1103,17.11,86,92,3.5,PE,1703907510
50,laguna,38.421,-121.4238,14.86,89,100,5.14,US,1703907510
51,kayangel,8.0823,134.7173,28.51,80,97,6.67,PW,1703907511
52,dunedin,-45.8742,170.5036,12.67,91,71,1.79,NZ,1703907511
53,georgetown,5.4112,100.3354,28.3,81,40,2.57,MY,1703907227
54,adamstown,-25.066,-130.1015,22.59,77,99,8.08,PN,1703907511
55,nuuk,64.1835,-51.7216,-9.66,73,6,5.14,GL,1703907480
56,kone,-21.0595,164.8658,28.28,64,76,1.31,NC,1703907512
57,enewetak,11.3474,162.3373,27.75,81,92,6.74,MH,1703907512
58,tianshui,34.5439,105.6897,5.51,47,0,0.61,CN,1703907512
59,tambopata,-12.7333,-69.1833,23.26,96,89,0.91,PE,1703907512
60,oriximina,-1.7656,-55.8661,24.35,96,96,0.31,BR,1703907426
61,novyy urgal,51.0736,132.5642,-23.17,86,92,0.49,RU,1703907513
62,udachny,66.4167,112.4,-25.31,83,100,3.44,RU,1703907513
63,stanley,54.868,-1.6985,0.99,92,0,5.14,GB,1703907513
64,khandyga,62.6667,135.6,-43.6,99,99,0.79,RU,1703907514
65,makokou,0.5738,12.8642,22.26,95,100,1.08,GA,1703907514
66,san patricio,28.017,-97.5169,13.24,50,0,3.72,US,1703907514
67,walvis bay,-22.9575,14.5053,16.16,100,0,0.0,NA,1703907514
68,zeya,53.75,127.2667,-24.73,83,4,0.37,RU,1703907515
69,usinsk,65.9939,57.5281,-14.96,91,81,5.81,RU,1703907515
70,zaozersk,69.4005,32.4476,-16.2,99,77,0.84,RU,1703907515
71,chonchi,-42.6128,-73.8092,13.56,84,1,1.75,CL,1703907515
72,lompoc,34.6391,-120.4579,15.56,83,0,4.12,US,1703907516
73,puerto ayora,-0.7393,-90.3518,24.75,95,66,2.24,EC,1703907516
74,iron river,46.0927,-88.6423,-4.58,82,11,1.13,US,1703907516
75,waitangi,-43.9535,-176.5597,18.79,94,100,4.47,NZ,1703907516
76,carnarvon,-24.8667,113.6333,25.04,63,22,5.84,AU,1703907517
77,keflavik,64.0049,-22.5624,-2.76,86,75,6.17,IS,1703907517
78,happy valley-goose bay,53.3168,-60.3315,-8.83,86,100,1.54,CA,1703907517
79,jaisalmer,26.9147,70.9181,17.17,30,97,3.81,IN,1703907517
80,katsuura,35.1333,140.3,13.66,52,0,1.27,JP,1703907518
81,mocoreta,-30.6189,-57.9634,20.46,62,12,6.73,AR,1703907518
82,mezhdurechenskiy,59.6,65.9333,-8.06,93,100,7.76,RU,1703907518
83,viedma,-40.8135,-62.9967,12.63,58,45,1.72,AR,1703907518
84,floro,61.5996,5.0328,5.54,93,20,2.06,NO,1703907518
85,yondo,7.0062,-73.9097,22.99,99,66,0.12,CO,1703907466
86,ad dabbah,18.05,30.95,14.4,50,0,3.81,SD,1703907519
87,soc trang,9.6033,105.98,31.51,57,56,4.03,VN,1703907519
88,colonia,50.9333,6.95,9.36,80,100,4.63,DE,1703907470
89,lazaro cardenas,17.9583,-102.2,21.98,79,0,2.06,MX,1703907519
90,carutapera,-1.195,-46.02,25.67,89,96,2.51,BR,1703907520
91,avarua,-21.2078,-159.775,28.03,65,62,5.14,CK,1703907344
92,monrovia,6.3005,-10.7969,25.3,84,4,0.8,LR,1703907253
93,huayin,34.5675,110.0921,10.65,42,0,4.15,CN,1703907520
94,shanwei,22.782,115.3475,21.06,60,48,1.47,CN,1703907521
95,lihue,21.9789,-159.3672,25.58,75,27,3.89,US,1703907521
96,folkston,30.8305,-82.0098,2.88,84,2,1.58,US,1703907249
97,haiku-pauwela,20.9219,-156.3051,22.01,76,40,6.69,US,1703907521
98,eydhafushi,5.1033,73.0708,27.05,83,89,8.19,MV,1703907522
99,phan rang-thap cham,11.5667,108.9833,31.0,54,47,6.12,VN,1703907522
100,diego de almagro,-26.3667,-70.05,18.86,48,5,0.15,CL,1703907522
101,sisimiut,66.9395,-53.6735,-14.6,70,100,6.5,GL,1703907522
102,ad dilam,23.9915,47.1627,14.23,50,38,2.3,SA,1703907523
103,ago-are,8.5,3.4167,22.02,23,2,1.17,NG,1703907523
104,tindouf,27.6711,-8.1474,8.25,27,0,2.57,DZ,1703907523
105,college,64.8569,-147.8028,-32.82,71,20,0.0,US,1703907523
106,touros,-5.1989,-35.4608,25.85,80,98,3.8,BR,1703907523
107,markovo,57.3206,107.0881,-11.62,96,88,1.37,RU,1703907524
108,la passe,45.5549,-0.8967,7.13,94,85,3.51,FR,1703907524
109,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,85,75,6.26,RU,1703907524
110,nova sintra,14.8667,-24.7167,23.42,69,95,2.03,CV,1703907524
111,homer,59.6425,-151.5483,-12.07,78,0,3.09,US,1703907368
112,margaret river,-33.95,115.0667,21.72,67,93,3.62,AU,1703907525
113,sabang,5.8933,95.3214,26.54,85,100,8.58,ID,1703907525
114,kapa'a,22.0752,-159.319,25.99,82,24,0.45,US,1703907525
115,grand baie,-20.0182,57.5802,26.36,80,50,1.34,MU,1703907525
116,gizo,-8.103,156.8419,29.46,73,51,1.81,SB,1703907526
117,omdurman,15.6445,32.4777,17.0,32,0,5.1,SD,1703907526
118,suva,-18.1416,178.4415,29.71,74,40,5.14,FJ,1703907526
119,al hudaydah,14.7978,42.9545,24.45,80,99,3.64,YE,1703907526
120,tura,25.5198,90.2201,23.0,50,0,0.4,IN,1703907527
121,giyani,-23.3025,30.7187,17.64,92,80,2.25,ZA,1703907527
122,shaowu,27.3409,117.4831,20.22,59,57,0.7,CN,1703907527
123,borodulikha,50.7184,80.9295,-4.48,76,85,8.92,KZ,1703907527
124,bakanas,44.8081,76.2772,-0.58,60,99,5.15,KZ,1703907527
125,hammerfest,70.6634,23.6821,-6.75,68,10,3.09,NO,1703907528
126,jamestown,42.097,-79.2353,2.77,95,100,3.6,US,1703907267
127,thompson,55.7435,-97.8558,-7.91,86,100,3.09,CA,1703907388
128,laojunmiao,39.8333,97.7333,4.22,14,13,2.54,CN,1703907528
129,xilin hot,43.9667,116.0333,-8.28,88,17,2.26,CN,1703907528
130,rudnyy,52.9594,63.1206,-9.87,85,75,7.16,KZ,1703907529
131,meleuz,52.9667,55.9167,-7.82,97,99,2.06,RU,1703907529
132,stralsund,54.3091,13.0818,6.12,85,100,8.77,DE,1703907529
133,papatowai,-46.5619,169.4708,16.33,52,51,3.91,NZ,1703907529
134,punta arenas,-53.15,-70.9167,10.06,81,0,8.23,CL,1703907529
135,iqaluit,63.7506,-68.5145,-8.15,85,100,7.72,CA,1703907530
136,fortuna,40.5982,-124.1573,12.59,92,100,6.69,US,1703907530
137,ballerup,55.7317,12.3633,5.08,93,98,4.61,DK,1703907530
138,inirida,3.8653,-67.9239,23.54,96,98,1.04,CO,1703907530
139,santa isabel,-23.3156,-46.2214,23.61,54,94,0.84,BR,1703907531
140,vernon,50.2581,-119.2691,2.64,90,99,1.03,CA,1703907531
141,olonkinbyen,70.9221,-8.7187,-8.34,69,100,8.0,SJ,1703907531
142,spring creek,40.7266,-115.5859,2.39,61,100,1.88,US,1703907531
143,jiayuguan,39.8167,98.3,0.44,30,8,3.69,CN,1703907531
144,brisas de zicatela,15.8369,-97.0419,25.29,73,0,0.0,MX,1703907532
145,sao luiz gonzaga,-28.4083,-54.9608,19.22,97,58,1.56,BR,1703907532
146,dalandzadgad,43.5708,104.425,-5.02,61,2,3.94,MN,1703907532
147,ilulissat,69.2167,-51.1,-12.99,52,40,5.66,GL,1703907532
148,codrington,-38.2667,141.9667,16.69,55,70,6.9,AU,1703907533
149,wurtulla,-26.7568,153.1256,22.81,99,93,0.89,AU,1703907533
150,iskateley,67.6803,53.1512,-16.1,97,99,4.02,RU,1703907533
151,taltal,-25.4,-70.4833,18.85,83,44,1.11,CL,1703907533
152,talnakh,69.4865,88.3972,-19.38,99,100,1.24,RU,1703907533
153,eirunepe,-6.6603,-69.8736,23.31,98,100,1.12,BR,1703907534
154,qaqortoq,60.7167,-46.0333,-17.18,70,0,2.51,GL,1703907534
155,dzhetygara,52.1908,61.2006,-6.26,88,89,6.88,KZ,1703907534
156,kilimatinde,-5.85,34.95,20.18,91,100,0.52,TZ,1703907534
157,arteche,12.2645,125.4048,27.02,90,98,4.12,PH,1703907535
158,tomatlan,19.9333,-105.25,17.98,81,63,1.53,MX,1703907535
159,rosso,16.4986,-15.8153,22.11,13,8,4.75,SN,1703907535
160,monroeville,40.4212,-79.7881,2.2,82,100,4.12,US,1703907461
161,mukalla,14.5425,49.1242,22.82,75,90,1.73,YE,1703907536
162,las khorey,11.1595,48.1967,24.24,72,51,3.79,SO,1703907536
163,manturovo,58.3353,44.7619,-24.56,100,100,1.45,RU,1703907536
164,key west,24.5557,-81.7826,21.0,78,40,3.6,US,1703907536
165,maragogi,-9.0122,-35.2225,24.8,75,1,1.92,BR,1703907537
166,alghero,40.5589,8.3181,6.05,100,100,1.03,IT,1703907537
167,warrnambool,-38.3833,142.4833,15.8,58,56,6.93,AU,1703907537
168,remire-montjoly,4.9167,-52.2667,26.02,94,20,1.03,GF,1703907538
169,saint helier,49.188,-2.1049,10.81,47,40,5.14,JE,1703907538
170,cafayate,-26.073,-65.9761,18.01,93,100,3.21,AR,1703907538
171,jaguaribe,-5.8906,-38.6219,26.05,75,95,4.18,BR,1703907538
172,cova figueira,14.8905,-24.2934,24.13,55,97,2.99,CV,1703907539
173,coquimbo,-29.9533,-71.3436,16.85,88,75,2.57,CL,1703907539
174,daru,-9.0763,143.2092,30.8,64,24,4.65,PG,1703907539
175,vorgashor,67.5833,63.95,-20.14,92,7,7.91,RU,1703907539
176,tiksi,71.6872,128.8694,-36.2,98,71,4.64,RU,1703907540
177,susuman,62.7833,148.1667,-37.23,99,100,0.89,RU,1703907540
178,weno,7.4515,151.8468,31.97,70,40,3.09,FM,1703907540
179,doctor arroyo,23.6667,-100.1833,7.19,90,41,2.74,MX,1703907540
180,as safirah,36.077,37.3725,8.58,73,0,0.99,SY,1703907540
181,tralee,52.2704,-9.7026,8.88,92,100,6.56,IE,1703907541
182,bredasdorp,-34.5322,20.0403,20.78,91,100,5.48,ZA,1703907258
183,xiangxiang,27.7333,112.5333,18.73,47,4,2.72,CN,1703907312
184,nelson bay,-32.7167,152.15,27.27,70,15,5.81,AU,1703907541
185,mega,4.05,38.3,16.42,76,99,2.87,ET,1703907541
186,kamen'-na-obi,53.7884,81.3423,-5.78,88,99,9.47,RU,1703907542
187,harper,4.375,-7.7169,26.18,84,28,1.45,LR,1703907542
188,carloforte,39.145,8.3058,13.56,78,100,2.27,IT,1703907542
189,isoka,-10.1606,32.6335,17.86,90,100,1.62,ZM,1703907542
190,horta,38.5333,-28.6333,16.12,74,40,5.14,PT,1703907542
191,uturoa,-16.7333,-151.4333,28.16,77,98,5.04,PF,1703907543
192,kampong dungun,3.2167,101.3167,31.72,83,81,2.46,MY,1703907543
193,port macquarie,-31.4333,152.9167,27.16,65,30,5.03,AU,1703907543
194,hadibu,12.65,54.0333,24.33,73,54,4.58,YE,1703907543
195,tual,-5.6667,132.75,28.66,74,83,3.01,ID,1703907544
196,hilo,19.7297,-155.09,21.81,99,100,2.06,US,1703907348
197,arafat,21.3594,39.9664,20.97,71,0,1.59,SA,1703907544
198,ola,59.5833,151.2833,-25.2,81,87,4.25,RU,1703907544
199,balkanabat,39.5108,54.3671,5.79,47,2,2.22,TM,1703907545
200,dabakala,8.3667,-4.4333,21.87,20,0,1.33,CI,1703907545
201,dazhong,33.1997,120.4578,10.17,84,99,3.86,CN,1703907545
202,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1703907545
203,papao,-17.75,-149.55,29.82,77,100,1.38,PF,1703907546
204,fayroz koh,34.5195,65.2509,0.18,48,0,1.79,AF,1703907546
205,east london,-33.0153,27.9116,20.52,88,40,3.6,ZA,1703907546
206,mabaruma,8.2,-59.7833,23.19,99,32,1.29,GY,1703907546
207,kavaratti,10.5669,72.642,29.08,72,100,6.49,IN,1703907547
208,rikaze,29.25,88.8833,0.12,10,0,0.3,CN,1703907547
209,port lincoln,-34.7333,135.8667,18.8,57,22,6.66,AU,1703907547
210,spring valley,36.108,-115.245,12.19,37,0,2.57,US,1703907507
211,codajas,-3.8367,-62.0569,23.57,99,100,1.05,BR,1703907547
212,shwebo,22.5667,95.7,23.59,57,0,2.62,MM,1703907548
213,ust'-ilimsk,58.0006,102.6619,-12.53,96,100,1.79,RU,1703907548
214,port blair,11.6667,92.75,30.02,70,40,4.63,IN,1703907548
215,san pedro,14.35,121.0167,31.84,71,20,3.58,PH,1703907282
216,kasongo-lunda,-6.4667,16.8167,20.77,99,100,0.43,CD,1703907548
217,parkes,-33.1333,148.1833,28.53,29,10,2.24,AU,1703907549
218,sheridan,44.8333,-106.9173,3.51,71,75,2.57,US,1703907549
219,ribeira brava,32.65,-17.0667,19.35,65,35,2.72,PT,1703907549
220,wichita falls,33.9137,-98.4934,7.07,64,0,2.57,US,1703907550
221,kyren,51.6828,102.1408,-10.03,89,46,1.34,RU,1703907550
222,tiquipaya,-17.3382,-66.2189,18.4,72,75,2.57,BO,1703907550
223,puerto baquerizo moreno,-0.9,-89.6,23.86,89,33,3.85,EC,1703907550
224,chinde,26.8418,88.0763,15.96,48,0,2.08,NP,1703907550
225,galesong,-5.3166,119.3661,31.01,63,76,2.74,ID,1703907551
226,minjur,13.2667,80.2667,27.01,63,46,5.17,IN,1703907551
227,kirakira,-10.4544,161.9205,29.35,77,87,3.21,SB,1703907551
228,tchintabaraden,15.8969,5.7985,15.01,23,0,4.65,NE,1703907551
229,taulaga,-11.0553,-171.0883,27.85,78,100,2.85,AS,1703907552
230,antsiranana,-12.2787,49.2917,25.42,83,40,3.09,MG,1703907552
231,olyokminsk,60.3736,120.4264,-35.84,98,73,0.56,RU,1703907552
232,bireun,5.203,96.7009,27.52,80,92,1.78,ID,1703907553
233,pervomayskoye,43.919,46.7102,4.31,35,15,1.57,RU,1703907553
234,undurkhaan,47.3194,110.6556,-10.54,95,80,1.58,MN,1703907553
235,dahab,28.501,34.5134,18.57,51,1,3.52,EG,1703907553
236,vadso,70.0744,29.7487,-6.91,86,20,3.6,NO,1703907554
237,mu'minobod,38.1085,70.0285,-0.65,93,100,1.36,TJ,1703907554
238,portland,45.5234,-122.6762,10.34,88,100,6.69,US,1703907516
239,tank,32.2217,70.3793,16.39,33,81,0.87,PK,1703907554
240,anadyr,64.75,177.4833,-20.56,76,0,8.0,RU,1703907555
241,road town,18.4167,-64.6167,24.05,68,0,4.55,VG,1703907555
242,igrim,63.1906,64.4162,-10.78,91,100,8.22,RU,1703907555
243,saldanha,-33.0117,17.9442,17.03,91,100,5.72,ZA,1703907555
244,chiredzi,-21.05,31.6667,18.5,93,99,3.13,ZW,1703907556
245,dryden,49.7833,-92.7503,-4.84,100,75,2.06,CA,1703907556
246,elliot lake,46.3834,-82.6331,-2.77,75,10,2.19,CA,1703907556
247,barclayville,4.6797,-8.2339,25.32,89,12,0.43,LR,1703907556
248,slave lake,55.2834,-114.769,-8.01,93,0,2.06,CA,1703907557
249,abu zabad,12.35,29.25,15.46,34,19,5.44,SD,1703907557
250,pisco,-13.7,-76.2167,22.03,88,0,5.66,PE,1703907557
251,ibarreta,-25.2144,-59.8585,21.24,99,100,1.48,AR,1703907558
252,hasaki,35.7333,140.8333,13.22,67,60,2.74,JP,1703907558
253,mili,6.0815,171.735,28.16,82,98,8.24,MH,1703907558
254,beloyarskiy,63.7119,66.6722,-7.78,93,100,6.26,RU,1703907558
255,tot'ma,59.9747,42.7642,-25.25,100,100,1.25,RU,1703907559
256,piti village,13.4626,144.6933,31.49,72,40,8.23,GU,1703907559
257,alofi,-19.0595,-169.9187,28.94,70,33,8.23,NU,1703907559
258,coronel dorrego,-38.7187,-61.2873,12.28,61,20,1.12,AR,1703907560
259,malango,-2.9627,119.9001,29.37,60,53,1.75,ID,1703907560
260,tucurui,-3.7661,-49.6725,23.83,97,100,1.06,BR,1703907560
261,kailua-kona,19.6406,-155.9956,25.98,81,40,2.57,US,1703907560
262,foca,38.6703,26.7566,12.91,79,74,3.99,TR,1703907561
263,isiro,2.7739,27.616,19.63,66,24,1.21,CD,1703907561
264,timbuktu,16.7735,-3.0074,17.12,17,0,4.76,ML,1703907561
265,sarina,-21.4333,149.2167,35.7,49,3,5.94,AU,1703907561
266,nar'yan-mar,67.6713,53.087,-16.05,97,100,4.02,RU,1703907562
267,muisne,0.6,-80.0333,25.13,89,98,2.31,EC,1703907562
268,gananoque,44.3334,-76.1661,3.04,97,100,2.82,CA,1703907562
269,chegdomyn,51.1167,133.0167,-22.03,85,80,0.83,RU,1703907563
270,palikir - national government center,6.9248,158.1611,31.41,74,40,4.12,FM,1703907563
271,murzuq,25.9155,13.9184,9.31,49,3,3.16,LY,1703907563
272,marka,1.7159,44.7717,26.55,79,95,6.42,SO,1703907563
273,aasiaat,68.7098,-52.8699,-22.78,86,98,5.62,GL,1703907563
274,cabinda,-5.55,12.2,24.3,87,100,1.04,AO,1703907564
275,pangody,65.85,74.4859,-11.45,94,100,10.19,RU,1703907564
276,alice springs,-23.7,133.8833,36.75,16,14,7.2,AU,1703907564
277,hailey,43.5196,-114.3153,1.29,77,0,3.58,US,1703907564
278,auchi,7.0667,6.2667,20.41,40,16,1.05,NG,1703907565
279,saint-philippe,-21.3585,55.7679,26.77,82,99,4.49,RE,1703907565
280,polyarnyy,69.1989,33.4478,-13.4,98,99,1.87,RU,1703907565
